"dict_id","dict_name","dict_type","status","create_by","create_time","update_by","update_time","remark"
1,"Giới tính","sys_user_sex","0","admin",12/2/2021 2:06:13 PM,"admin",12/3/2021 4:23:06 PM,""
2,"Trạng thái menu","sys_show_hide","0","admin",12/2/2021 2:06:13 PM,"admin",12/3/2021 4:23:23 PM,""
3,"Enable/Disable","sys_normal_disable","0","admin",12/2/2021 2:06:13 PM,"admin",12/3/2021 4:24:44 PM,""
4,"Trạng thái job","sys_job_status","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:10:18 PM,""
5,"Loại job","sys_job_group","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:11:32 PM,""
6,"Yes No","sys_yes_no","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:11:58 PM,""
7,"Loại thông báo","sys_notice_type","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:12:53 PM,""
8,"Trạng thái thông báo","sys_notice_status","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:15:09 PM,""
9,"Loại thao tác","sys_oper_type","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:17:01 PM,""
10,"Trạng thái hệ thống","sys_common_status","0","admin",12/2/2021 2:06:14 PM,"admin",12/3/2021 5:25:05 PM,""
11,"Danh sách mã kho","business_stock_id_type","0","admin",29/4/2022 2:02:40 PM.313,"admin",5/12/2022 3:56:52 PM.210,"1. Mã kho trên Phần mềm + 2. Mã kho trên Hệ thống"
12,"Danh sách khách hàng","business_provider_type","0","admin",29/4/2022 2:03:05 PM.917,"admin",5/12/2022 3:57:27 PM.547,"1. Mã khách trên Phần mềm + 2. Tên khách trên Hệ thống"
13,"Danh sách sản phẩm","business_product_type","0","admin",29/4/2022 2:03:24 PM.167,"admin",13/5/2022 3:59:11 PM.783,"1. Tên sp trên phần mềm + 2. Mã/Tên sp trên hệ thống"
14,"Danh sách tên kho","business_stock_name_type","0","admin",29/4/2022 2:36:25 PM.543,"admin",13/5/2022 3:59:40 PM.360,"1. Mã kho trên Phần mềm + 2. Tên kho trên Hệ thống"
